region,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Beijing,0.9637110237426426,0.9783566480312879,0.9752922556253539,0.981439581915248,0.9670770030029439,0.9796846655874654,0.9959562020649557,0.9984821307195144,0.9973228522432097,0.9935724208141097,0.9963000177209735,0.9947412190938936,0.9989886718786932,0.9995306805760298,0.9999746669133246,0.9998633003691306,0.9971620815464944,0.9979276006924195,0.9994439425362148,0.9993844190049561,0.9992173199500289,0.9985478787351711
Tianjin,0.9971547991653931,0.9998954554803546,0.9996258912112203,0.9918342722937331,0.9898959267604724,0.9999994298923247,0.9991896443077736,0.9999393305892817,0.9959531822026497,0.9951263308152593,0.9961200915677908,0.9967521782859421,0.9935048056278857,0.9980504541429476,0.9997106523030871,0.9993664381902191,0.999950627078443,0.9982309927779962,0.9974802773201252,0.998822574478956,0.9995846038797066,0.9999999072125179
Hebei,0.9907990833196338,0.9973058094887066,0.9963204426485639,0.9980131531087232,0.9786172711659656,0.9220007457095356,0.9217417825152616,0.9401958982213692,0.9575602790633373,0.965873251259846,0.967867745853645,0.9594726292102438,0.9529271875216505,0.9527632411785137,0.9567465733440503,0.9658522290372532,0.9687392659518798,0.9678573636300156,0.9696928705972223,0.9778703050477626,0.9850907798395573,0.9913285598684514
Shanxi,0.9951952445564215,0.989428782811553,0.9882708782291941,0.9984398139682088,0.9985366730665055,0.972372847283887,0.9734332657391577,0.9764209018944123,0.9860779488177409,0.9878582142560212,0.9875801012361562,0.9760210959835219,0.9754557706885583,0.9713447669055256,0.9621339206603892,0.9658652875057645,0.972300075189393,0.9657847235229768,0.9638066714097805,0.9786518173379726,0.9887322465200666,0.9941925051691757
Neimenggu,0.946307212381089,0.9517607891025821,0.9589704024207311,0.9766851308894521,0.9791515585306675,0.9323319532434491,0.9537323069524354,0.9608722450347433,0.9793247487412835,0.9861277694731969,0.9854890438436388,0.9858038055221654,0.9879204621300292,0.988117766695747,0.9865061502815626,0.9596351659079965,0.9606748442144798,0.9544754678548913,0.9489560427732937,0.962934821179179,0.9773312670088932,0.9843873848613177
Liaoning,0.9998482887668351,0.9998726831154997,0.9999138215301773,0.9979290794371115,0.9999601072266983,0.9878532077755697,0.9964878700501193,0.9953225473235133,0.9999233621528866,0.9996537977982235,0.9999705257510481,0.9924916679763081,0.9985832342189306,0.993895564259281,0.9878034610049989,0.9842749511913765,0.9533177761903994,0.9542690538541516,0.95274727359725,0.9586082101860074,0.9806995952182573,0.9867989142515248
Jilin,0.994071986276503,0.9928296183856784,0.9999359977357376,0.9968544045488668,0.9970608145171578,0.9681905099191357,0.9794364671904701,0.9873229332654161,0.9972340650346052,0.9989412694443306,0.998313090120908,0.9935407034738946,0.9978821610722213,0.9962917734323473,0.9787142269526993,0.9906380496716998,0.9848988708988851,0.967664384560399,0.9700766450760797,0.9893241731575174,0.9809325790657301,0.9939563210308913
Heilongjiang,0.9991767932292213,0.9998598471546608,0.9997338373490037,0.9378140144944644,0.9997699841632621,0.9672408793698295,0.9831241792672983,0.9912997309962716,0.9999488114078762,0.9994950005062393,0.9999704324763556,0.993395701401337,0.9964167126727985,0.9936795347932038,0.9780387645088455,0.9882240963228828,0.9695951495346657,0.933803970884669,0.9416618997439111,0.9474269438224856,0.9708204657479655,0.9761387465703414
Shanghai,0.9980569423967769,0.9947929013451429,0.9980269452151939,0.9981565067135515,0.9982580111116505,0.9942768740856144,0.9957201724586052,0.9974529850685545,0.9967141949638385,0.9957009889603711,0.9954716743493159,0.9960834780377367,0.9929725564069204,0.9870186079564816,0.9877742385751433,0.9911464954359388,0.9956783720695376,0.9947214623812418,0.9937573535689537,0.9951896683183931,0.9965617280405189,0.99838795008392
Jiangsu,0.9976966768645773,0.9996409567658238,0.9984392219396899,0.9999433259555852,0.9995920122538205,0.9987011333018628,0.9999983116677913,0.9986367853606363,0.991932342600515,0.9905189888302864,0.9898720312047324,0.9922356014226181,0.9935992059484154,0.9949766736605419,0.9966911465270415,0.9960861225859982,0.9929084627082665,0.9907178564133515,0.9908134239449079,0.9882358801016029,0.9876190641341782,0.9830836218935062
