region,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Beijing,0.519,0.524,0.528,0.554,0.545,0.571,0.609,0.631,0.639,0.626,0.639,0.646,0.677,0.690,0.708,0.711,0.711,0.738,0.757,0.773,0.789,0.795
Tianjin,0.333,0.354,0.354,0.360,0.372,0.406,0.411,0.428,0.411,0.422,0.435,0.448,0.447,0.465,0.477,0.468,0.481,0.488,0.509,0.523,0.537,0.544
Hebei,0.305,0.298,0.302,0.307,0.297,0.313,0.329,0.335,0.343,0.353,0.368,0.393,0.412,0.419,0.438,0.451,0.460,0.473,0.488,0.497,0.512,0.521
Shanxi,0.313,0.319,0.324,0.320,0.331,0.356,0.365,0.376,0.374,0.382,0.392,0.415,0.420,0.425,0.437,0.441,0.443,0.445,0.462,0.469,0.477,0.485
Neimenggu,0.272,0.272,0.272,0.279,0.284,0.304,0.311,0.327,0.331,0.343,0.357,0.369,0.376,0.380,0.382,0.397,0.399,0.405,0.420,0.428,0.439,0.445
Liaoning,0.370,0.372,0.379,0.382,0.398,0.402,0.400,0.415,0.410,0.423,0.428,0.468,0.460,0.471,0.482,0.499,0.480,0.487,0.507,0.522,0.512,0.520
Jilin,0.334,0.335,0.321,0.318,0.323,0.358,0.358,0.368,0.357,0.356,0.370,0.390,0.391,0.403,0.431,0.420,0.429,0.447,0.464,0.454,0.492,0.511
Heilongjiang,0.307,0.317,0.318,0.384,0.339,0.395,0.392,0.393,0.372,0.383,0.384,0.411,0.409,0.416,0.432,0.422,0.438,0.453,0.465,0.473,0.486,0.491
Shanghai,0.420,0.433,0.436,0.444,0.463,0.492,0.506,0.519,0.524,0.534,0.526,0.541,0.556,0.577,0.591,0.598,0.606,0.626,0.641,0.662,0.672,0.684
Jiangsu,0.338,0.361,0.376,0.382,0.400,0.404,0.436,0.446,0.451,0.470,0.491,0.516,0.530,0.551,0.576,0.592,0.607,0.625,0.645,0.670,0.685,0.694
Zhejiang,0.326,0.342,0.362,0.370,0.379,0.397,0.413,0.424,0.429,0.437,0.458,0.499,0.493,0.514,0.535,0.556,0.575,0.601,0.617,0.638,0.649,0.664
Anhui,0.295,0.307,0.308,0.317,0.316,0.318,0.337,0.345,0.355,0.363,0.382,0.413,0.382,0.426,0.450,0.457,0.464,0.470,0.488,0.508,0.528,0.540
Fujian,0.319,0.323,0.326,0.346,0.351,0.332,0.345,0.356,0.360,0.373,0.386,0.417,0.391,0.427,0.445,0.465,0.473,0.483,0.499,0.516,0.516,0.523
Jiangxi,0.302,0.302,0.299,0.300,0.319,0.332,0.339,0.338,0.337,0.343,0.358,0.376,0.382,0.396,0.409,0.418,0.434,0.444,0.463,0.477,0.492,0.502
Shandong,0.345,0.354,0.355,0.364,0.379,0.394,0.401,0.414,0.418,0.430,0.446,0.480,0.482,0.500,0.520,0.539,0.549,0.558,0.586,0.605,0.615,0.625
Henan,0.302,0.289,0.290,0.296,0.270,0.323,0.333,0.347,0.353,0.358,0.370,0.391,0.405,0.426,0.448,0.468,0.477,0.488,0.503,0.523,0.532,0.543
Hubei,0.349,0.350,0.354,0.359,0.363,0.373,0.374,0.375,0.380,0.383,0.398,0.420,0.437,0.446,0.464,0.472,0.484,0.498,0.511,0.528,0.545,0.598
Hunan,0.331,0.335,0.343,0.344,0.356,0.338,0.349,0.349,0.346,0.361,0.378,0.397,0.406,0.416,0.432,0.442,0.454,0.465,0.488,0.503,0.523,0.537
Guangdong,0.428,0.426,0.426,0.428,0.438,0.418,0.440,0.459,0.475,0.487,0.507,0.545,0.544,0.579,0.609,0.643,0.668,0.698,0.724,0.748,0.752,0.761
Guangxi,0.288,0.292,0.288,0.292,0.296,0.301,0.302,0.307,0.308,0.322,0.338,0.350,0.361,0.369,0.381,0.391,0.405,0.416,0.429,0.446,0.453,0.460
Hainan,0.198,0.202,0.209,0.218,0.222,0.237,0.255,0.273,0.277,0.293,0.301,0.311,0.337,0.336,0.349,0.348,0.355,0.362,0.372,0.391,0.405,0.415
Chongqing,0.250,0.253,0.257,0.269,0.283,0.297,0.308,0.323,0.333,0.339,0.350,0.376,0.391,0.413,0.430,0.432,0.488,0.448,0.462,0.473,0.487,0.495
Sichuan,0.326,0.332,0.336,0.340,0.347,0.356,0.366,0.374,0.388,0.392,0.407,0.427,0.444,0.461,0.482,0.491,0.503,0.515,0.532,0.551,0.558,0.564
Guizhou,0.285,0.288,0.288,0.291,0.298,0.267,0.280,0.275,0.274,0.283,0.308,0.321,0.335,0.348,0.363,0.376,0.390,0.398,0.410,0.419,0.425,0.431
