region,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Beijing,0.3546963793490918,0.3391190412851907,0.34878444157730504,0.3732309081833404,0.3858669157885782,0.39982783124302645,0.4064407190123991,0.42006749629093176,0.4388519973392455,0.43923822901289744,0.4449302192116449,0.4625017096479712,0.47879493200789014,0.4904476612954154,0.504183936103205,0.5146347886673585,0.5456216793177515,0.5805172769810121,0.5928320486540748,0.6190556278907229,0.6476230936242653,0.6664834777717443
Tianjin,0.11968216697546064,0.12347708233094175,0.1290463221224229,0.14699621054051704,0.1598137689199652,0.1645319528126632,0.17575121368345684,0.18114842628703104,0.18470193972816226,0.19624614916235728,0.2067654595262094,0.21799066583419477,0.2237839908722001,0.2299895419810659,0.23354485260440824,0.22738984377275773,0.2334065936516866,0.224442664514454,0.24105171941983816,0.2610299266231532,0.27975011562992347,0.2958819055732013
Hebei,0.08109469382059356,0.08243782598778726,0.08361709847216828,0.08827598157455414,0.07149322657947757,0.06531003108221556,0.07210196461635492,0.07890514445772459,0.08746101044278023,0.09565920621581503,0.10468040398684442,0.11590453154126674,0.1239554448396323,0.1285329674556016,0.14206069453853773,0.1559464609671392,0.16425201312713683,0.1727615166038628,0.18590872993557983,0.19984383242364326,0.2199825488015607,0.2374363517080223
Shanxi,0.08859604630308071,0.08788030749282415,0.09020505023649551,0.09712013693041122,0.10408124264706699,0.10009700572743202,0.10578711849709559,0.1135668624248644,0.11842698679157457,0.12501746421477358,0.13111480062386066,0.13803190248948732,0.1412524657318593,0.1416027852724292,0.14456626388648944,0.1494594539799567,0.15431776088229762,0.15198212776573106,0.16222053816081003,0.1786810077118882,0.19530629068126826,0.21129453464644682
Neimenggu,0.05275153798635588,0.05377276637092345,0.05528332773898586,0.06280878655202562,0.06581351637466991,0.06324893012548467,0.07085607046207898,0.08059958938796863,0.08946682491104752,0.09956220712352325,0.107589040847478,0.11522114502539044,0.12078864750040234,0.12337030048064193,0.12402550647330766,0.1182851039866645,0.11981194751682872,0.12073285578429277,0.12715334765437392,0.13860302987626644,0.15533342367538783,0.1657489372055972
Liaoning,0.1392412892226305,0.1408605349890111,0.14579675935160577,0.15531644599456046,0.15989605916155541,0.13823159241612468,0.14686864949458747,0.15634628218009672,0.16618167179050214,0.17446200983700522,0.18216857285830226,0.1937102991962733,0.20082212210824668,0.19854192731621156,0.19820203254715374,0.2078846787495351,0.1689754935790117,0.17433696223300305,0.1878881241072225,0.20341355359570018,0.2150495156078393,0.22978798476927267
Jilin,0.10013343482807624,0.0995341937950679,0.10203269528897425,0.10953526290607252,0.0967830525416763,0.09918474919027058,0.10455513075678073,0.11553874311255208,0.1183819690583327,0.12111878501021511,0.12938423631923768,0.13558520784108738,0.14319589696579002,0.14867622457494384,0.1511190784626426,0.15343949844617916,0.15457806226259102,0.15426830462220673,0.16783509730042112,0.17818556989174256,0.19887691010618463,0.23387064414021896
Heilongjiang,0.09830204849784606,0.10201568874548018,0.10354251504777227,0.21171160651547583,0.11770573797311673,0.12029786378639513,0.12777514536648632,0.13527285675598283,0.1394239383343662,0.14225470970332849,0.14661760452937803,0.15082606231538653,0.15401153519076716,0.1549004343411329,0.15072893989191227,0.15254422510579366,0.14911055517472022,0.14104542876566262,0.1524367129088775,0.16091080295927726,0.1853072909632347,0.19301498985555138
Shanghai,0.1653928985879215,0.1696504752849608,0.1784224676196763,0.18521504063721395,0.20165480570332578,0.21781612852774113,0.23317250849370885,0.25081099992810385,0.25302002383507777,0.26023658948043654,0.25160676290749107,0.26807397643818526,0.2745862413372701,0.28271996521862847,0.29812097840491375,0.3132049958616094,0.3347275675870956,0.35374523352080856,0.36683295192459675,0.3971136773882756,0.4159406328457887,0.44172346638436305
Jiangsu,0.12248272967932164,0.12686855311599607,0.1339943571810858,0.14713826406860042,0.15557497931445108,0.15522817006414844,0.18944650121199114,0.20957001171887146,0.23118308425933737,0.25412912344586835,0.2786708073766012,0.3016384486059972,0.3149099198834849,0.3354098719251126,0.35947828120867686,0.3834371187913386,0.4153081428340472,0.4474233992837918,0.47666191833362326,0.524496230718974,0.5500114752613338,0.5800109995252778
Zhejiang,0.09392199302583684,0.0985407228123971,0.10584628630383038,0.11985505036286848,0.13023499774379582,0.12713094867640107,0.14880335637226724,0.159472634189468,0.1730703086710545,0.18142721532515688,0.19628939171357043,0.217017984010842,0.22895890041335312,0.24445118696493373,0.2742018712457585,0.2821696349049644,0.3111520952985169,0.34245303424787965,0.3617471525064141,0.3908712541228952,0.417125584160226,0.4576292870201548
Anhui,0.08146033705861837,0.08326772529903323,0.08426405182934542,0.08935129459034542,0.08131183606470524,0.07399064808279295,0.08114890051097956,0.09068070649034919,0.1003486774218328,0.10932908671145113,0.12299753878957909,0.13798329428901437,0.1453474321672116,0.1513525112548251,0.17254246961053576,0.1803429960680308,0.19182340350204719,0.20880229727023591,0.22741578884961852,0.2536893228204473,0.28629851280384927,0.31339579478249524
Fujian,0.10097650346664577,0.10550981966759934,0.10769671834869331,0.11494753366897151,0.12258097566238688,0.08338873691578239,0.0933545321679878,0.10339205954293766,0.11027021919465914,0.12316477071171736,0.1331958075098717,0.14658383273315384,0.15908450371882776,0.1674158791948604,0.18197111814280667,0.19080206550722156,0.20435165609652192,0.2223694538551675,0.23507348739745568,0.2569262163127242,0.273497008731427,0.2906201937691024
Jiangxi,0.0753301724535209,0.07753108485757018,0.07891392378485688,0.08902714403123459,0.10221267300964815,0.08352050357521634,0.08742790935937633,0.08994537407898166,0.09586136666846407,0.10005755915464701,0.10709417817694028,0.11496685773204876,0.12315030734438567,0.13202733728600757,0.14712588543130786,0.15784741529945676,0.16647495709963372,0.1806785051306202,0.1986241662004244,0.2199186804044029,0.2429186103390132,0.2639550410230904
Shandong,0.13634226389029272,0.13881826415316934,0.14244537567883828,0.1541581902025946,0.14821147616471964,0.15383397674363,0.17225576344283405,0.18215505973930263,0.19877951384584264,0.21332041799498658,0.22783170062620886,0.2432248489261375,0.2522169673317761,0.2686064939178081,0.2839800308270489,0.3000493369590753,0.30754496271793236,0.3124153455607763,0.34584581667205105,0.38004588442361964,0.40727290558344537,0.43852667268088336
Henan,0.07346449111120229,0.07455637197575779,0.0761217494706475,0.08270357650575866,0.08422054590373314,0.07689565151864855,0.08656076981569949,0.0972805153316589,0.10718343063345165,0.11498117989207604,0.12323404636231239,0.13383928862839703,0.1449509033268611,0.15348169167712816,0.17414846002545364,0.1932156765104264,0.20272906497550186,0.22175305422482938,0.23733982393507244,0.2606032091519955,0.28672803148161724,0.3106140759898365
Hubei,0.12351401266558655,0.12669604495842385,0.1262623983423074,0.1352146027403138,0.14332182675838046,0.12594152343267526,0.13669037053756783,0.14595482215906713,0.15416879083298557,0.16157337125964016,0.17196909482140543,0.18489450766829146,0.19405446455311223,0.20057579322928432,0.20970703959597214,0.22044070056732845,0.23143420531796427,0.2513239941111184,0.2618224792943928,0.28960542188491334,0.3210987070750496,0.3565552999802277
Hunan,0.12196629082623098,0.12327755573907054,0.12509761148991155,0.13169332443010573,0.13769055230836902,0.08695632472463172,0.09770771368320147,0.10779517640242903,0.11415294968308795,0.1208849902773757,0.13060118998956477,0.1399273413124105,0.14601141268181184,0.1550508775673684,0.1628008905380948,0.17518534903696983,0.18896704866945865,0.20548931906820359,0.22851060511306068,0.2500378919649575,0.281911048745196,0.3142056549637103
Guangdong,0.1744728319551829,0.17500326108697287,0.17722634605444185,0.1879568079921224,0.19632408809527832,0.15426644417124352,0.18396055878315457,0.20207610958266994,0.22467231873539517,0.23956362779371004,0.2592034617627671,0.287063670499095,0.29710415709604665,0.3306576568957509,0.3712862929939931,0.413813587852648,0.4568280163683812,0.5097779746034048,0.5375291302791684,0.5845178746714204,0.6080811944686383,0.641173678315188
Guangxi,0.07066986813323843,0.07168227993238363,0.07203023192896323,0.07540572817061089,0.06408271036248486,0.059262803036338366,0.06488503037286887,0.07047871853924259,0.08025340541011997,0.08695674434911722,0.09458603571564587,0.10206837074791099,0.10778694736395587,0.1113715224393225,0.11975539820976594,0.13048502552946928,0.13450849548013064,0.14656736959206346,0.1575863661802645,0.1752399388024166,0.18840616277323133,0.20258784813485414
Hainan,0.016393465473191322,0.01644454290720334,0.01815962095936173,0.02160411158661788,0.024575425290185436,0.02645701607534443,0.03404470202029619,0.041310042607727644,0.048980321742925145,0.05460352597846252,0.058994517623001445,0.0644202373163645,0.06759130187241968,0.0695261600098735,0.0740310971557416,0.07673077581096802,0.08028263450970814,0.08683431995281403,0.09283903673595874,0.1067095675028432,0.11832869408166435,0.13287831472372688
Chongqing,0.03160597722515827,0.03387477889191636,0.037108586316010043,0.044961362745207234,0.05408185023709851,0.05322300808991891,0.059527698911619645,0.07019883412779412,0.07853775984069283,0.08789940522601472,0.09711875164975206,0.10807243285438961,0.1167452354480534,0.12832320346275347,0.14551850474697503,0.15254393845920378,0.1622869113802217,0.17343856680681138,0.1844749938174491,0.19974563945837515,0.21557193994275242,0.23130639554624782
Sichuan,0.09820626605297171,0.10158735161105856,0.10018203646528809,0.10760385306340405,0.11176582263046214,0.10330282501234936,0.10938227181268932,0.11710325890936121,0.12918954102140257,0.13461613718472415,0.1461714034613436,0.15801974928076842,0.1716762369602652,0.18373439839539396,0.1994804148426259,0.2118709496442394,0.231074726804606,0.253412696211611,0.2736855022990992,0.29933132955613906,0.31296196126911346,0.3295164324157578
Guizhou,0.05530150523283099,0.05609058070353275,0.056025007052229,0.059319256632217765,0.06282592322287377,0.03468692427816365,0.03516985236698651,0.039489851751220335,0.043443168021990095,0.04703143796383231,0.056892703677242945,0.06276583937629246,0.06985441897135886,0.0782323496814568,0.08795702139950402,0.09859167262474233,0.10963499435037463,0.11968897960824007,0.12801130402386615,0.13474524935418966,0.14004611205347434,0.14770165912852098
