region,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Beijing,0.20522631603344857,0.22283605675708937,0.2225631472753885,0.2531154618569929,0.22931340941400102,0.2662498491401665,0.3394314855645746,0.37621115550085016,0.37904411182247366,0.3499082282837473,0.37450512755774096,0.3765643558103464,0.4375918207742018,0.46129241869890997,0.4970571297953353,0.49789342010003523,0.46921967234644624,0.5103251179951614,0.5545732520638896,0.5770917657482351,0.5983367958756678,0.5983453082798437
Tianjin,0.10290342567298986,0.12710031460227325,0.12217516140148565,0.11374321652296067,0.12012028988697024,0.16488370565787067,0.16215069458257325,0.1851836559130619,0.15424001565490705,0.16101705233731242,0.17331659100051883,0.18549771129463183,0.1780582920054966,0.2029676993381116,0.22257322939780744,0.21176004206042648,0.22881352543561848,0.25281815872692903,0.2778659822304912,0.28764765964807415,0.29635370032993263,0.29562709289144695
Hebei,0.10648142677529336,0.09548991732574047,0.09929371347767378,0.1001477953913115,0.10852010839714941,0.1478386727860719,0.16345000395278916,0.16043134236053225,0.15829643835890192,0.16253557292732151,0.17501172942466214,0.20686023470681342,0.23182902275733525,0.24066294124606186,0.2586309835777199,0.26501481584946174,0.27263556662418376,0.28885894734758066,0.3061262031997711,0.30558577900898126,0.31139893960763737,0.3092782405217824
Shanxi,0.10782798000751907,0.11769237526335719,0.12272125426803729,0.10860766863464058,0.11598198991059692,0.16105962691626852,0.16861788055458193,0.17609851431890983,0.16566723338827058,0.17100732129672735,0.17999527665726076,0.21484463988290567,0.22102412539670102,0.22989955589516814,0.2529089315212694,0.25396431244669315,0.24846190967107076,0.258417162347412,0.28016018486101957,0.2711281356323453,0.2640729993383792,0.2622563129310742
Neimenggu,0.1031494492386884,0.10137999512572678,0.09903294963765391,0.09714775494488566,0.09936676018566708,0.13490044975631058,0.1317800601167181,0.1423566751932258,0.13484356805022712,0.13919265330482655,0.1515801772319922,0.1617199182051517,0.16508871989580862,0.16818140846660487,0.17258837924355008,0.2108550664854058,0.21192813723018303,0.223377266372331,0.24431875001313727,0.24099307578724505,0.23877172380785766,0.2365619043141067
Liaoning,0.13447362289292975,0.13643578956575997,0.14201826745752516,0.1365429386595871,0.1570649047277561,0.18909483276183037,0.17371329579159708,0.18978521230094614,0.17034798258969658,0.183890736729442,0.1849875002364851,0.24770021712825893,0.22339562641119703,0.24778269472336234,0.2713074165352457,0.29708395453403325,0.3151734046369497,0.3230219763376311,0.35183735105060243,0.3653594058558787,0.3195807430804889,0.3185995093040639
Jilin,0.12456334467066595,0.12656119949331826,0.10436785489044914,0.09344790717842749,0.11284341162157474,0.16538346938889892,0.15740666614207152,0.15913637860247634,0.1373924248165235,0.13279998745600535,0.1453344267203948,0.17029540823152473,0.16312108715047013,0.17666854975485616,0.22916368445449592,0.20195622800357635,0.21930944007398956,0.2583468625002443,0.2754687908121029,0.2389797060673146,0.2948275499042134,0.2915492905654964
Heilongjiang,0.09063722245054828,0.09865609281674217,0.09887266712034856,0.10260153391740114,0.11276285149987593,0.20215615684704513,0.18499273416038628,0.1762807481509639,0.13663080768377248,0.15159212443074016,0.14889002114658156,0.18992320708299135,0.18247115848746814,0.19407427496075888,0.23010312766109442,0.20766040062453273,0.2457350473712107,0.2982013666138592,0.3070978114870059,0.3123368924523861,0.3022199707868278,0.30009208381179797
Shanghai,0.18737319821136206,0.20815532485464822,0.20232872053349038,0.20915007307641115,0.22694179927545252,0.2699232654856476,0.280660639317417,0.28933823031697187,0.29762134063066753,0.3133670950890854,0.30446631498097265,0.32007698165059656,0.34830183372982154,0.39090873494826317,0.40823574740540425,0.4091086192250881,0.40326380302881015,0.43464332037585074,0.4589610831344567,0.48337219647390345,0.491091530235054,0.49488366618789437
Jiangsu,0.10692150950630402,0.13385455849908848,0.14984661526202003,0.14403829502415688,0.16472346223966067,0.17189558725981008,0.19014402517538936,0.18877730831903178,0.17916403566956207,0.19274007366144963,0.20938514614234013,0.2349069697148894,0.2509848074751201,0.2743669236451092,0.30543298452378087,0.3211592624272877,0.32705498317286974,0.34033942543298357,0.3630964127273868,0.3853471575495403,0.4008488434017481,0.40043514253418283
Zhejiang,0.120513836743539,0.13939226231477658,0.16240953298309616,0.15687678771677332,0.15828112790283674,0.19559128426060812,0.19571079507826383,0.20353384423307502,0.19606553106844268,0.20019003688498146,0.22494138756284665,0.2847196682406086,0.2586096773702977,0.2854225737812881,0.299027431894361,0.33885146601547134,0.3506661057774634,0.3815741230055663,0.40144709182097693,0.42281425879234774,0.4255277693498717,0.42477927040818947
Anhui,0.09241353649756805,0.10632114610304633,0.10728074147285022,0.11320288031136193,0.12318798372716898,0.13907652666530512,0.159121972717557,0.15681641948939218,0.15761561629235518,0.15936427198180184,0.1727814259726167,0.21003425933125447,0.1471082963887041,0.2183158456361905,0.23789293937932626,0.2425773096751714,0.24179979579877803,0.23299475454876534,0.25018479646003233,0.2626035985319164,0.27229153011504903,0.27052782781364076
