Region,R2-training,R2-testing,degree
Beijing,0.9999999999999528,-8.065930350620205,
Tianjin,0.9999999992546381,-3.805991124450685,
Hebei,0.9999999999999317,-5.029089491193094,
Shanxi,0.9999999999998928,-3.2354597589868455,
Neimenggu,0.9999999999998966,-4.027968836423546,
Liaoning,0.9999999999998748,-5.579212473241778,
Jilin,0.9999999994003269,-3.4047399995544714,
Heilongjiang,0.9999999372972438,-6.63633384756412,
Shanghai,0.9999999999801332,-5.922167640591861,
Jiangsu,0.9999999999985123,-4.950051363684571,
Zhejiang,0.9999999999999605,-6.8632701162960315,
Anhui,0.9999999999999293,-2.808882203827512,
Fujian,0.9999999999999111,-5.596673509365035,
Jiangxi,0.9999646705523153,-4.0995250019782095,
Shandong,0.999999999999949,-4.236233732704316,
Henan,0.9999999999999475,-4.223260903081332,
Hubei,0.9999999999998864,-2.231760340006156,
Hunan,0.9999999999990974,-3.7531660697641627,
Guangdong,0.9999841427016056,-9.067382028020093,
Guangxi,0.9999999998135187,-4.934046777074,
Hainan,0.9999999999999174,-2.9580365874032,
Chongqing,0.9999999999999581,-0.7889192180721019,
Sichuan,0.9999999999999367,-5.156443777799278,
Guizhou,0.9999642620249956,-5.419373590576606,
Yunnan,0.9999999996180194,-2.977706544541633,
Shaanxi,0.9999999999998662,-4.391269044685035,
Gansu,0.9999999999998539,-4.2161636213192,
Qinghai,0.9999999999998779,-1.8856765408180434,
Ningxia,0.9999999999995026,-3.664128642148764,
Xinjiang,0.9779858781808357,-7.648692192734931,
