Region,R2-training,R2-testing,degree
Beijing,0.9654447668242453,0.9054214253354348,1
Tianjin,0.9551707399943243,0.810441336371784,1
Hebei,0.9854017117951548,-6.281109735948038,2
Shanxi,0.9788431677018634,0.39593093533644164,1
Neimenggu,0.9804045832345202,0.8091149292993716,1
Liaoning,0.9456427648316278,0.3719717124061517,1
Jilin,0.9172822283885905,0.8272160806458717,2
Heilongjiang,0.8014296000848973,0.21740520518175976,1
Shanghai,0.9774285118014033,0.6382558568268271,1
Jiangsu,0.9960519859511389,0.5098922546970797,2
Zhejiang,0.9914062698320136,0.8692401015922513,2
Anhui,0.9720191175181531,-0.04733216865319867,2
Fujian,0.9639264001355942,-4.393792996434872,2
Jiangxi,0.9809244375306081,0.9391086862663094,2
Shandong,0.9939354042822003,0.12686546893118422,2
Henan,0.9694134002095517,-4.278004581994766,2
Hubei,0.9846667140534268,0.7949803382961309,2
Hunan,0.9672748427948066,0.6863666137016063,2
Guangdong,0.9921292416969931,-7.946901922426159,2
Guangxi,0.9904951095051736,-0.8803046486958983,2
Hainan,0.984364594430988,0.6865969120805016,1
Chongqing,0.990290359581198,-31.886225406982888,3
Sichuan,0.9958119567208931,-2.66978464927947,2
Guizhou,0.940689306980514,-23.934572863016527,2
Yunnan,0.9888714506166351,-0.11932227725564282,2
Shaanxi,0.9434219160104989,-0.5250884698702434,1
Gansu,0.9659151005505883,0.6974606556467245,1
Qinghai,0.9899414605576087,0.7155636398488592,1
Ningxia,0.9872274459238225,0.9088470817154888,1
Xinjiang,0.9526649543307444,-2.006856510462543,2
