region,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Beijing,0.993066217652524,0.9988113671377433,0.9957033476597903,0.9987082498065157,0.9998449245039347,0.9525752525715375,0.9780367343128387,0.982669363824134,0.9746095820238545,0.9678826357894282,0.9734881588268609,0.9610106042386473,0.9644795663546522,0.9706261582798648,0.971788720166282,0.9685917350353552,0.9553932859787069,0.9498021982953894,0.9534493374614426,0.9320607727023642,0.9358279570645132,0.9389019927127396
Tianjin,0.9975436110678328,0.9915522993840757,0.9696332624044413,0.9986912091060574,0.9854237614643521,0.9931364200162492,0.984179677281077,0.9784105585824068,0.983981552039899,0.9828131130429991,0.9742949798352407,0.9578156028259182,0.959921949419822,0.9682294947558528,0.9798721852655871,0.9826847339221476,0.9862377011257513,0.9977339517888131,0.9952109515978694,0.989316793177213,0.9941244363558218,0.9960342752913626
Hebei,0.847187561721849,0.814168297956907,0.8299566854120397,0.8259201010122504,0.8441348951103206,0.8634433991133789,0.8509193928892719,0.8565508197759666,0.8358815358322259,0.8476826711345423,0.9189418508810622,0.9387604012093065,0.9560605704707398,0.947924208872636,0.9566164001215554,0.9724166254562663,0.9823447247348462,0.9933147432296684,0.9975455118979532,0.9997542162377359,0.999125341348403,0.9998962117033768
Shanxi,0.8532043823041986,0.8404957698845577,0.8688262370682421,0.8610695679822529,0.893949100895465,0.9788078552872234,0.9232215361105554,0.9073975263388998,0.9462461106427439,0.9022926981464569,0.8966159304815315,0.9454162867653764,0.928250279638723,0.8628404329935607,0.8144389640125529,0.914110257706564,0.9260640359262746,0.9569636893369496,0.9630157855707925,0.9694079949854864,0.99646463617546,0.9879258500987593
Neimenggu,0.5606454988046221,0.5680458116069572,0.589975799586701,0.6346452617161424,0.6191445595854246,0.6375249609602375,0.6848356512823907,0.7139749380475183,0.7693399071715418,0.7578163198634714,0.7873361593340142,0.8269313504730554,0.7971275635188502,0.8751659955272225,0.9386349240019426,0.9982108396336014,0.9966398645441465,0.8001998581272678,0.827934147040861,0.9121803281096645,0.9887336406149742,0.9956393717746166
Liaoning,0.9967920506194473,0.9999987020723456,0.99765636564424,0.9948494990015487,0.9867775065305331,0.9969168149098748,0.9995008784329812,0.9892421109501366,0.9901309203065191,0.9999962651427493,0.9997889096949494,0.9999857086361224,0.9981809272681741,0.9929842151308114,0.9981881977358648,0.9969827987663369,0.9999586034141809,0.9905119340905192,0.9943493554214882,0.9994854275655644,0.9991223266119639,0.9810618192384382
Jilin,0.815762741738038,0.8559882600583081,0.9027456173398201,0.8642677237773737,0.8799942338308081,0.8991037367852892,0.8525288007481153,0.9328815860659098,0.8397830062409126,0.8834797787088394,0.9096652927110748,0.9381563827215681,0.914173857336652,0.8983546789398389,0.8916423242331748,0.9162374594305335,0.9452010263587071,0.959456868479718,0.9660524424245174,0.9513572704150917,0.9770704612197264,0.9783820572877236
Heilongjiang,0.9804990066241939,0.9973746750218995,0.8742368629216967,0.9976834036852944,0.8622273208351304,0.9404791955675778,0.9035268225570411,0.8899059922492937,0.8865556418246384,0.9185291684724972,0.9328329836612843,0.931141041165611,0.9194792675057192,0.9096475435002173,0.93899390329123,0.8920357009784411,0.8309551859218864,0.983616369878888,0.9985238172050372,0.9893014815536996,0.9808867390293644,0.9009427635997268
Shanghai,0.9914284938216371,0.9473380193967454,0.9570620914566068,0.9916647509291139,0.9932743908170305,0.9989095134518123,0.99618739046293,0.9855040835008385,0.9940680621666173,0.9916003950706548,0.9909329541761327,0.9901260743851966,0.9941773962479306,0.9983839661828199,0.9961334526297814,0.9946010890698486,0.9859487096675752,0.9854413354404363,0.9861385411187387,0.9782293996051432,0.9805733124036701,0.9691515422836209
Jiangsu,0.9606689369853326,0.950469670085302,0.9507810425793404,0.9642698508617251,0.9815758072976962,0.997712425891811,0.9999324928098003,0.99895514407817,0.9989240205978605,0.9852086923538338,0.9750030252368732,0.9655856423590812,0.9668846953222285,0.9680880555261991,0.9711905440108214,0.9758164254577852,0.9568421334838356,0.9481063951394729,0.932097509421004,0.9179444908676233,0.9035722064439615,0.8966310635191833
