region,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Beijing,0.5394609937339009,0.47275048603783754,0.4956306314417544,0.5015606809941636,0.4841536199130322,0.5963620432601171,0.6248609534101564,0.6503486591102623,0.6514164164989062,0.6341527753251974,0.6276014742966047,0.6349653116272621,0.6622677368585743,0.6458453725275516,0.6432181145579486,0.6502988481778481,0.654157409072465,0.6606733472919811,0.6741866649323793,0.6911091045611734,0.687968755649329,0.6830065718874556
Tianjin,0.510713837737811,0.4916192067958842,0.5072644817885821,0.5483823728136918,0.48657224613722705,0.5171994206605441,0.5056870926392696,0.4861429375110274,0.48924063126757283,0.4728716194738596,0.4844849213704427,0.5054263594557008,0.5135157432153564,0.5191827372338231,0.5282854965463433,0.5326755685243221,0.5304787746247095,0.5282459369200584,0.5504779345578114,0.5532530707732318,0.5338298908190624,0.5277432884234471
Hebei,0.33170607674409075,0.33860725576678075,0.3503087448996692,0.34199774039109887,0.35056159043242335,0.372400455542856,0.3876927243428112,0.38951313603024446,0.38647732092845016,0.3748406269906622,0.3982058998295119,0.40593278329051635,0.4208627462370209,0.4293245364713737,0.45234995178700205,0.47361517668159586,0.4850066937956298,0.5075154211558874,0.5157920688076644,0.5098112024414936,0.4994862395856546,0.5032760356302641
Shanxi,0.3569700972015543,0.34548245462256827,0.35017829489280916,0.3483591005005137,0.3658471931628017,0.43597491686645634,0.4006626504529632,0.3937056319391948,0.4189915753325196,0.3784420683159437,0.3708641736499435,0.39600981509516,0.39661009630528665,0.38187320450134754,0.3723153437370268,0.42334415756003485,0.41890399834057823,0.44196038996120224,0.45274193172238514,0.4475630847692154,0.47343752235459813,0.4541422731258524
Neimenggu,0.2616041315695871,0.2521334357583047,0.2615777354151637,0.26804558974654524,0.2629090916087937,0.2821607004521083,0.2970908497093453,0.30273240402524043,0.3235786098798528,0.31040398822127113,0.31596404568209074,0.32802618159773006,0.32328086856937466,0.3639704671188543,0.4049846462631722,0.4851770663088775,0.4893030623089369,0.3704943184041946,0.3875595008249065,0.40710296299158016,0.4544123907875634,0.4646929434780052
Liaoning,0.4573544716875821,0.46894427740199335,0.4523900203185094,0.4410777621696843,0.4294575120795648,0.4329176137523488,0.4527053207762707,0.41963133346970094,0.42558014887250534,0.4266491317268833,0.41849782988263046,0.42205822017839,0.4252874518100341,0.4319437280035244,0.4682635835531808,0.4685937047080359,0.47016549843478217,0.44606722692272055,0.4610747525514988,0.4741604119664641,0.491738818921376,0.4529369973131691
Jilin,0.3295082755883411,0.3414666146845257,0.35953563083344076,0.3403339345782761,0.34955303654394443,0.3760182229738196,0.36556217152490905,0.39645835217785774,0.3620625287551994,0.3620429993983567,0.36538445058307234,0.37797515514569635,0.3774961777473122,0.38474944752354767,0.3958945350257655,0.42054213604054225,0.4370340188990295,0.4587099842038628,0.46710156812276254,0.449690953973928,0.4661829613500083,0.4641046866710068
Heilongjiang,0.4223257123715865,0.4580908378489639,0.36343707806003445,0.5939874057206765,0.3626479366932834,0.3937251027751497,0.411073743582083,0.3932862398522694,0.39783779224395216,0.39158022563651496,0.3954947868375941,0.39687741138705823,0.41200813531362074,0.4139260177699025,0.44415470094045006,0.447122187808856,0.40958765765902844,0.5183707613902109,0.5510900509375346,0.5177905855486946,0.48921533307092235,0.4257233735649555
Shanghai,0.5056377004656827,0.42394456536549646,0.42191064554069596,0.4522646656764212,0.4702736576349465,0.5401602312363943,0.5339027093284969,0.5662510983468654,0.5486945106648852,0.5268787778842429,0.5318361397751211,0.5326571020838768,0.541266263961624,0.5402593483395248,0.5566683629963629,0.5601457018789554,0.5600685084915715,0.5628302860091778,0.5769706878848826,0.5788988978797208,0.5765428098929333,0.5921935320199678
Jiangsu,0.43385752208851935,0.4193159501857123,0.4116329632580552,0.4053345237597055,0.41937790683035886,0.4495617579729773,0.4771741374765152,0.4812870755111294,0.4889125897493306,0.5074050567004404,0.5155868132689629,0.5183034857562905,0.5274100048396425,0.5394670520593547,0.5539218000056708,0.5684912400872683,0.5735096614029311,0.5878212112620773,0.6008973915355894,0.6015625103690531,0.6085112517778745,0.6124669059462925
