region,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Beijing,0.25860021825985924,0.2346656113850161,0.22386431492244774,0.2646873835233114,0.2385696900326433,0.25974114453378166,0.31600904281706077,0.3506283964335424,0.3379077993168851,0.311038024267009,0.31206100376357193,0.3035312729853897,0.3346255164107369,0.32634718021983244,0.3253280701129712,0.3280376931097722,0.3156196974043365,0.315784846707182,0.3329630166339721,0.3267864760030911,0.3274989671377868,0.32584503354093175
Tianjin,0.2431553442691216,0.21213254117690486,0.20047458909974236,0.3165181423224014,0.19938302075440978,0.23784096946267858,0.21379509793458945,0.1916285990249383,0.19988815325601933,0.18551733500600046,0.18664529876088326,0.19005957229058695,0.19771642037093812,0.2087789920767016,0.22796121937553981,0.235243047357833,0.23815919730914065,0.26086007368350433,0.2747206658135924,0.26429028145067734,0.25562976613525246,0.2547438263372672
Hebei,0.19887758803677769,0.22259134077448284,0.23033821207350458,0.2214553039804246,0.22363769946768547,0.24163679123948478,0.2694269858781476,0.2685395396013368,0.2767766486186942,0.25368475350365216,0.2406093821561256,0.23601364220087362,0.2395801969088317,0.2563755571512826,0.27622016497995694,0.284479011147973,0.2842571864178455,0.289239001215303,0.28537040683519266,0.26573491343326955,0.26014649423827896,0.25696257689047947
Shanxi,0.227250294386878,0.21895234591986315,0.21101859961010533,0.21259727827812,0.21682320501598523,0.23395568586775858,0.2406977400031163,0.24261498231181794,0.24553488161582832,0.2271583110803472,0.22132586801542367,0.21993186149961724,0.23248915055642638,0.2544379184254151,0.2689607548316614,0.2755553269533278,0.26099817931880726,0.2633485062925468,0.2701978663266201,0.25735342220413326,0.24383612982774386,0.24110943928218684
Neimenggu,0.22314663218918168,0.20401563920835866,0.20961707687655415,0.20069978769553573,0.1993080157271221,0.2210927710853275,0.22279795970036628,0.21823656706505773,0.22303746155310905,0.2100988505895109,0.2049732919537312,0.20328849303941848,0.21027389170470234,0.22460731217053945,0.2350035194950421,0.24991884677714998,0.25990108474083246,0.27441778539746126,0.28316220441988516,0.2561426812422042,0.24010440212476514,0.2371176064444077
Liaoning,0.2266413454376237,0.21955471095071338,0.21917372445515965,0.21537904850649572,0.21719881627139867,0.20274862744899153,0.21152201763429263,0.20404539431388075,0.2085596925793901,0.1815326593232614,0.17877659817077315,0.177183326865421,0.1921234488319129,0.21011145683582408,0.23288605525442643,0.23734058331750973,0.22307621121222587,0.22848850361975995,0.23649423200739664,0.23215918113314532,0.2521571109573373,0.24961607525603607
Jilin,0.21007878328785262,0.20663929588234875,0.2047894609104672,0.20143293135250018,0.20480179046431077,0.2260929468208776,0.23868336510101193,0.22917436292762414,0.24084858720572605,0.2178655510061457,0.2077207687776625,0.2050050970843443,0.219064625930626,0.23716505706019478,0.2553620664356758,0.27035609369463676,0.2680463714260553,0.28111886955513105,0.28419866650779424,0.278049571902672,0.26978494457495705,0.2656811485316959
Heilongjiang,0.21765533513870905,0.22563541515521046,0.22444084881884313,0.3776977656632818,0.22978621981984065,0.220848069825844,0.2671703502939177,0.2530915756916897,0.26111881686566224,0.2329339067041925,0.22809471673440176,0.23084555356909497,0.25719583695665277,0.2665911023084701,0.2823472914350756,0.32540658520466836,0.3142103018258946,0.3224320549764943,0.3206692774884789,0.3105423702349549,0.29147166167941335,0.2884616907149654
Shanghai,0.29157203026409334,0.25047508538165764,0.239911558091136,0.23283846979965447,0.24843471384213683,0.2784543792254328,0.2611801552761544,0.27015933855110524,0.26992299960404365,0.24374384556365347,0.24708711443902237,0.24638407024494308,0.2629309947635369,0.2757387120611621,0.28375296121710436,0.282729735447392,0.2650011704689578,0.26680500000305923,0.28156274213091415,0.2714872832512235,0.2724937056950214,0.27267085253314594
Jiangsu,0.2503503060521551,0.24248600220433447,0.23343492265259658,0.21552236391910987,0.21341535868349948,0.2162630744120189,0.22506467605152322,0.22128230513865382,0.22819536817371455,0.21654485951209101,0.21206562472361362,0.20585390547469287,0.21426625297268437,0.2252800402753582,0.24064341835072633,0.258795955473739,0.24385257405954938,0.24856935204248284,0.24706927204842616,0.23783297081171073,0.23422829222962946,0.233119924971524
Zhejiang,0.21372439317642344,0.2219993571187493,0.2051551692773329,0.19791749934266528,0.1967860733807565,0.19316786683111273,0.19552804243072858,0.19846220927965325,0.2059488634249151,0.19715476969060056,0.19779445013394995,0.20269056690992826,0.20610980340187415,0.21722205891308521,0.22578384042239558,0.24471502707749096,0.2407169371278125,0.2461544884113957,0.25322688635983104,0.24273855591601107,0.2445772428640184,0.24358402024769304
Anhui,0.21559554841830594,0.25697897741547543,0.25674407838376473,0.22611005811854734,0.2328964248315929,0.2396425491373737,0.2639988575288672,0.25904637129603636,0.25859737920754333,0.23368624147857556,0.2228960542880037,0.21352131006553476,0.2226801108171083,0.23395699969693845,0.2417448260990171,0.2579721624158473,0.25499852620582386,0.25392109531118834,0.24872339887600606,0.2413044394614418,0.22710952091211414,0.2246208178647457
Fujian,0.2253087044736536,0.229510382866361,0.2243641971748705,0.21220558026219302,0.20876870129870773,0.20677719899874952,0.21508833915011966,0.2125744806628338,0.21378572465537987,0.19900436699080687,0.19464269133852677,0.19910951599046617,0.2086473905957757,0.21393891679333213,0.2189243150558668,0.22019279592929902,0.21798741640608746,0.21685143272811389,0.22474960339405542,0.22364353598178377,0.22764557873914318,0.22666960119254226
Jiangxi,0.20421532806643755,0.236144430541478,0.23552090569649264,0.21495745847055872,0.2099318908001627,0.21667013959529385,0.23508501019343353,0.2196991003303298,0.23077147301002862,0.20932163581530228,0.20041557028854867,0.20005652665589618,0.21296317844601037,0.2263312041387967,0.23124320772524853,0.23693176734271268,0.23201998274523028,0.23013334131619329,0.23815999651649872,0.2245757544508194,0.22066520340639273,0.22051436937424312
Shandong,0.22300997318633153,0.22440395569249355,0.21954178067718325,0.2062753898793308,0.20800612956647896,0.2077907684099843,0.21683179975258382,0.2127177509130105,0.22383232334681266,0.21055676036206125,0.20853902472444902,0.20337550764307655,0.20880561922257623,0.22304887852073813,0.23903881288759193,0.2525891931308345,0.2547869494542033,0.260970710569934,0.2622159518190157,0.24820015438977922,0.25723449676080706,0.25409138628423583
Henan,0.35438651430855655,0.21625609109724298,0.2224227564861978,0.21487086220226953,0.21802127546157896,0.23659431534218683,0.28779919874662463,0.26379508320552375,0.28974129392526143,0.2774312050568535,0.25528030788435335,0.24339845132967977,0.24506898949540906,0.2563202524583578,0.26771099918650787,0.2948370851713481,0.2994404461978323,0.2909662960119881,0.2817930285687724,0.2611465072498095,0.2508054195883655,0.2520298363459095
Hubei,0.21593192285778595,0.2071254451994528,0.20578876447159064,0.2009686167804708,0.19887194805111677,0.21288655428839515,0.24104519011542952,0.23026343189649687,0.24069692240905144,0.22457810966274105,0.21570336487697642,0.21132883956137508,0.21646371345474097,0.2304299736526027,0.24162074240250742,0.2591935014437381,0.25691782748976205,0.26232146109240145,0.26305583755586937,0.25425036542223234,0.25014834093347,0.37676700412467895
Hunan,0.22438806648292997,0.2427729835990223,0.23846771746622158,0.23098147746783942,0.21228029611838004,0.22912693346436228,0.2625593954649095,0.24555760595132836,0.2513579293667378,0.23203270176537688,0.2204780262251036,0.21482951533198308,0.21987101181639945,0.22695899072475245,0.23692152894985097,0.2521767317532561,0.2599579868772507,0.26106803808216206,0.2646885756392056,0.24899880139137298,0.2446115744226837,0.24293086454813184
Guangdong,0.2726575650742611,0.2762556613238438,0.27715295588470534,0.2781057117954979,0.2846091661173745,0.21283103878995718,0.21490078991349595,0.2140712520163901,0.21984212836714717,0.20353620223054603,0.20123041915198348,0.1977111924297771,0.21131769220001526,0.22199456133020337,0.23492599636006928,0.23602609570371585,0.2305586248152372,0.2406400312885842,0.24583727240176745,0.23905398325443655,0.2528959883316707,0.2523353685893317
Guangxi,0.20044263189109846,0.2000737106589629,0.199433647068999,0.1961804082326247,0.1908192070485099,0.19968198894532935,0.20645459250788328,0.19584459464475013,0.19899353309312012,0.19271552049379825,0.19183850790403156,0.19410187049293326,0.19870198260470062,0.20864423974076113,0.21800230529864253,0.22951974703566652,0.23098926913267112,0.22966804627366227,0.23449134977594022,0.23084104628575303,0.22600467743001162,0.22331917947046181
Hainan,0.22306800051631342,0.1971475379997047,0.19110238172894384,0.17348888062048873,0.1783248595816654,0.19894157450688227,0.18546859635598942,0.1885241002576028,0.19542352773148686,0.1901011938144911,0.19089098206285404,0.19320592116089647,0.203367775627724,0.22430695692634645,0.22603114980861885,0.23178359459565073,0.23893195917845755,0.2427995147782988,0.23876820275704186,0.23841299077700315,0.23314480909579366,0.22503403608054523
Chongqing,0.21113643748261612,0.20403514049413515,0.2027589222396708,0.1968071130614901,0.20303751033506912,0.21710893131975761,0.24341907186775996,0.24213870173063737,0.25135287186826044,0.22604527023339394,0.2185350686971329,0.21670885984274196,0.2177170997499716,0.22980609054701653,0.2339560246972036,0.24873735820298545,0.33496702693777797,0.2487524816572931,0.25654092989903493,0.25565053145321215,0.24340984365966278,0.24151871625471943
Sichuan,0.21463375850213895,0.2181955581210483,0.21382821510370753,0.21744942431626135,0.22561415863964437,0.24607418970422879,0.26303086098868195,0.24890630072219372,0.2613451058018673,0.24445894177523286,0.23448684542690568,0.22982419647570257,0.23641985362237122,0.24909081524682308,0.27527109064946653,0.28132937001979025,0.2689610120639117,0.26792146469574196,0.2638649586207079,0.2521272157960134,0.2465531997597482,0.24321932478229644
Guizhou,0.1839078536077804,0.18966459524888424,0.18590667197746835,0.18817295329918518,0.19681370673819848,0.20952693653029142,0.20554402164625757,0.21163317124576803,0.21491757394689437,0.20485044278019415,0.2004945069374467,0.19510196157286694,0.1986635885418648,0.2008352532950719,0.20600874018997756,0.21535570445161545,0.21939831693099698,0.22447441152285535,0.23881653335696695,0.23187707200826668,0.22446126520764492,0.223727988175893
Yunnan,0.2054549432572969,0.2240278889320148,0.1998672676049763,0.1961469264249205,0.19725377450235898,0.2060509904306127,0.21689770432360372,0.21240892039920645,0.21759946699582167,0.2027702980504673,0.19976399061333106,0.20261092609657616,0.2112781156835276,0.21662190405325982,0.2252325164938737,0.23167101796043454,0.2331349415757951,0.2311366874254786,0.22802569049977645,0.21533499653956337,0.21177455435585585,0.21134611801996042
Shaanxi,0.19420647383005343,0.1972631040778562,0.19242425601083502,0.19723934924693287,0.20122418140374057,0.2146384396840566,0.22853580607344873,0.22486384837304915,0.2338688627486329,0.21835440304314718,0.2084759240476055,0.20681094316766216,0.21413447322777462,0.22416710597331774,0.2383439712782685,0.2513053500987927,0.2560093648885107,0.25320943455904715,0.2587415732534504,0.24284573203491386,0.23169472073034375,0.23013746128557588
