region,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Beijing,0.3275000006123443,0.21285236728890966,0.26955518276369494,0.23908960393637085,0.2303124774518612,0.4869666576714261,0.48242970165602445,0.5101970123500597,0.5328887853074806,0.5199506257662616,0.49716016029031107,0.5355457261478778,0.5748775370163155,0.5331315009532809,0.5261523686076786,0.5451652811567795,0.5801829466471888,0.6033313073833397,0.6204754961722219,0.6981076261755219,0.6840138973300103,0.667864599332711
Tianjin,0.27978645228587,0.2753645775141516,0.33027711767681384,0.285716510532822,0.28112609617455286,0.3008468388592152,0.30586496326158374,0.2914711664442124,0.2866177061005545,0.2695184506104408,0.29519160668025446,0.3433537571205274,0.3516999539278256,0.3480119673013218,0.3416754537698916,0.3422427962864808,0.33250998316554115,0.29849499160671544,0.3342476256798003,0.3544982854288945,0.3176875006176446,0.30449993742683085
Hebei,0.06087344306979476,0.059057733368118086,0.06537894741237363,0.06177416165255349,0.0675324189538474,0.07959352780848397,0.08385124415018114,0.08571961148977689,0.08060585880401314,0.07782018443426635,0.10450046022835097,0.11504808630347044,0.13095166402327435,0.1325153602683088,0.15158031775419306,0.1768692005362738,0.19466123621645182,0.22937185091715862,0.24802171426956526,0.25420780431374335,0.23926332595247918,0.24966354105075622
Shanxi,0.07145339945011525,0.06506604115287329,0.07125841501555591,0.06927091777460176,0.08262151417670525,0.15442315091821673,0.1070639903921545,0.09903048204389803,0.1255185646813095,0.09029610114188866,0.08547268557081217,0.11182416142284735,0.10642713515158353,0.08357856466912783,0.07144220059443462,0.11656427618922147,0.11798330148171367,0.14487803034855673,0.15549662344381554,0.15591470821010972,0.20604052296255737,0.1764223101285584
Neimenggu,0.020988821676745727,0.019808806385031096,0.022334510672826945,0.025720994170189013,0.02397163481795969,0.02866893474563826,0.034965995244864,0.038486473375339,0.04915202399357546,0.044186081994230846,0.0486243028734657,0.05695360747359878,0.0519439132388796,0.0781341142828751,0.11446688590949253,0.22171855952168892,0.22054826371947744,0.06866160552129416,0.07967430188074884,0.10723464091508556,0.1775826521416111,0.19665296920762643
Liaoning,0.1930512326535411,0.22026333051744088,0.1911012710872656,0.17573456712254268,0.1566113961847621,0.17324595403265625,0.19856688149795154,0.15196544283180022,0.15728781182593476,0.1825276635966822,0.17157822556878816,0.17908804717872534,0.17027461293445695,0.1656757537131453,0.2064515048959071,0.20314858131744595,0.2190532832761902,0.1732754006530829,0.19110181616485264,0.21772851122434755,0.23188184922516716,0.1686081783273346
Jilin,0.05611553554037493,0.06579305952441318,0.08159436052467077,0.06660250220342463,0.0728984958777574,0.08841960211796353,0.07482088515478792,0.10780136337956715,0.07134938239930158,0.0788591428061295,0.08580652702584428,0.09956079520957123,0.09269962562869696,0.09239773331647466,0.0961970253740569,0.11569161995257116,0.13609778066155062,0.157493550702416,0.16750326055356526,0.1470734820216417,0.17506844538785812,0.17462365588613565
Heilongjiang,0.14615738904598674,0.1951637508483942,0.07773471780593384,0.32958279418468417,0.07526912419434617,0.10881250594425199,0.10687858426755742,0.09452731395346996,0.09593696501801777,0.1009369781247309,0.1072624782948627,0.10747414818546991,0.11203642213515103,0.1101146875572917,0.1378330690039976,0.12282267425590009,0.08957091802530412,0.22393592850339195,0.2876291706996078,0.23147054591229965,0.1965187098664878,0.11387328132116845
Shanghai,0.22418777636946424,0.12896496837526683,0.1320780848162441,0.1796866857587409,0.19687489065382752,0.30572881550881226,0.3111059542596132,0.38055395984540724,0.33580145225610625,0.31616163241876166,0.3237883991441646,0.32672191239785797,0.32643901024493155,0.3089665183006808,0.338412001806618,0.3482030290178051,0.3712930528070857,0.37611085801215416,0.3935861559147844,0.41367702299765086,0.4054803069250571,0.4510408975197778
Jiangsu,0.14152735799198585,0.12749080318781844,0.1229914023421362,0.1252454740562933,0.14494275778558793,0.1888752580109745,0.23035638309745018,0.24247675436908642,0.250390621323932,0.3061056074667601,0.3332245028680668,0.35057214636840234,0.36111013792623314,0.3759559704291134,0.391218912710239,0.4035874224333206,0.4436450187250418,0.48032305535191155,0.5276944656608784,0.5506187438218779,0.5853762527077327,0.6036026159744358
Zhejiang,0.11711065912207774,0.159538311992047,0.1587784681054326,0.17300623449528413,0.18874522489638,0.22912246113848717,0.24425150139195517,0.2720623171297497,0.26353995640994204,0.3074110496989114,0.3370898624261639,0.3751951331220832,0.38477104124074657,0.4169999260516787,0.4336363515622663,0.44057101332582616,0.4717272934832215,0.5154987819400183,0.5315005671956661,0.5540318578310575,0.59397399079898,0.636043271031885
Anhui,0.10381580827542844,0.175767942006443,0.0703824653516586,0.11377500111224462,0.11334342519198491,0.12049355429584441,0.1095568631873609,0.1585799363782679,0.1467153378776383,0.19766413038129882,0.216954935423799,0.21412172110396727,0.21956619436180308,0.2506736336391462,0.31773733605946947,0.32036251878262506,0.3731710449781798,0.4034458969881509,0.4182116276431469,0.46152805242334805,0.48741579495105236,0.5010002061973557
Fujian,0.15453707402783692,0.2745094692648126,0.1896058097340131,0.2151599395769035,0.20591326918701497,0.24076537109383306,0.24160521291461412,0.20553240289017666,0.20151117863536078,0.22413188906792375,0.23235156354702263,0.25522827226178424,0.22587449748993027,0.2210716729681489,0.23667447835604194,0.29674134149538844,0.26105802627545077,0.2669714157919739,0.2958500642876618,0.31060054648436464,0.28937291915544994,0.2724111293400621
Jiangxi,0.05162512839789029,0.08273153054504097,0.08263571246914597,0.07987470595146559,0.07764145490461254,0.08534959776503973,0.07873707487817115,0.08458094434145277,0.08747789991537552,0.07770997611154257,0.08494181216329402,0.10461282066925355,0.10554508907244281,0.12231531168845408,0.13511199809927607,0.161502220521685,0.19648281317645405,0.2592979209216909,0.281921329451877,0.28140904019927493,0.3185679094567866,0.31058807232074104
Shandong,0.18110069562307468,0.16498380167440613,0.19119983138642854,0.15233176992116942,0.1516936378216946,0.18294539069479487,0.1907048211576554,0.18834599084525672,0.20208619020356888,0.22591939417887302,0.2242913596091776,0.22586067043915647,0.2179447015526006,0.23793755067165162,0.2452748249478569,0.2692699585261779,0.3034368205929324,0.31963842265341014,0.3532221508069954,0.4355375057693952,0.4885652287391276,0.497645112428267
Henan,0.10303681762111487,0.10231859466563281,0.09963260151010937,0.09171648870890763,0.08062113962650402,0.10001693488158143,0.09656388778642505,0.11647429183510558,0.10821233125970932,0.09542453556489186,0.0917798063336085,0.2520349469908183,0.24660297898209044,0.24152883052671703,0.22823377316725782,0.2577278694158813,0.3288906527052585,0.2703018513849943,0.31382026853685163,0.3064089575954767,0.4071405464065311,0.40078730179768407
Hubei,0.0587152570714017,0.06804996621863402,0.09029605594332238,0.07252341545133492,0.10587971937269602,0.14404255775446187,0.13351622823639037,0.1693914433337696,0.16764830786440219,0.1677603704760081,0.1845106804297318,0.19878796115147096,0.23154493089314265,0.23185155379988176,0.2359241371075667,0.2712794560724403,0.3363570223440797,0.3721256188104557,0.37278161956736267,0.37490129904519714,0.4379256581574198,0.44619803523892965
