Region,R2-training,R2-testing,degree
Beijing,0.9937596626695889,-6.813637078166329,
Tianjin,0.9999997750657635,-0.5613722867520132,
Hebei,0.9998049618969101,-16.320299270339696,
Shanxi,0.570188232759627,-26.11436461440694,
Neimenggu,0.9999999999999565,-3.858681493687425,
Liaoning,0.8607792321696569,-0.11033363705843247,
Jilin,0.9999999929187282,-14.07604404874781,
Heilongjiang,0.9465664985512928,-2.863838146662834,
Shanghai,0.8458156843680834,-7.349630255955354,
Jiangsu,0.9999999999987794,-11.665639188043924,
Zhejiang,0.9999999999905685,-7.9889968174632315,
Anhui,0.9966777294395662,-13.70119219202033,
Fujian,0.8552739913305575,-2.298949803371511,
Jiangxi,0.9999999999998007,-34.96747672359375,
Shandong,0.9854669221768521,-4.909919377384311,
Henan,0.9999999999999359,-0.738382874328444,
Hubei,0.9999731357276798,-1.2969225856119664,
Hunan,0.9999687100832834,-3.7351179230816083,
Guangdong,0.9999999999999034,-14.233729815071971,
Guangxi,0.9423744133328998,-6.060391961033024,
Hainan,0.9787337540690707,-2.3578910398903323,
Chongqing,0.28693046549720513,-15.330540958422738,
Sichuan,0.5433403475620808,-40.5012757442509,
Guizhou,0.9882340365130576,-0.3334872428698614,
Yunnan,0.9999167765975061,-0.2829177569365797,
Shaanxi,0.6662749915621056,-9.760148788816611,
Gansu,0.9933830684117124,-3.1792535327539593,
Qinghai,0.9999999952152433,-0.1608435011650764,
Ningxia,0.8191941839473489,-2.678655489877836,
Xinjiang,0.6319202508467404,-7.324875680932189,
